Instance,opt-cost,RANS-cost
Golden_1,5623.47,5908.50596966189
Golden_13,857.189,935.2794019022565
Golden_14,1080.55,1211.108398460228
Golden_15,1337.2677,1502.4570540481363
Golden_16,1611.2769688292835,1823.2169572880257
Golden_17,707.756,786.7791596621213
Golden_18,995.133,1136.6860998414083
Golden_2,8404.61,9221.65610037611
Golden_9,579.702026,649.2819308648875
Li_22,14499.04468,15975.411168988245
Li_25,16665.7,18425.061498833253
Loggi-n401-k23,336903.0,366623.0
M-n101-k10,820.0,833.4252385411955
M-n121-k7,1034.0,1109.380391771127
M-n151-k12,1015.0,1134.4957510242689
M-n200-k16,1274.0,1482.3184260128319
M-n200-k17,1275.0,1482.3184260128319
X-n101-k25,27591.0,28529.188459687466
X-n106-k14,26362.0,25974.728795006293
X-n110-k13,14971.0,15769.48010884632
X-n115-k10,12747.0,14145.981417008657
X-n120-k6,13332.0,13789.80115985755
X-n125-k30,55539.0,57916.970792312895
X-n129-k18,28940.0,30111.428101877933
X-n134-k13,10916.0,12059.430849359565
X-n139-k10,13590.0,14971.774894610338
X-n143-k7,15700.0,17641.763523172354
X-n148-k46,43448.0,45422.6304565846
X-n153-k22,21220.0,25021.13344951343
X-n157-k13,16876.0,18389.759143536747
X-n162-k11,14138.0,15663.432798147218
X-n167-k10,20557.0,22649.787893074466
X-n172-k51,45607.0,47879.10899531084
X-n176-k26,47812.0,53822.81935421609
X-n181-k23,25569.0,26638.007618334177
X-n186-k15,24145.0,26179.243337766038
X-n190-k8,16980.0,18448.506568860288
X-n195-k51,44225.0,46592.5412138034
X-n200-k36,58578.0,61334.12739067216
X-n204-k19,19565.0,21233.088596286096
X-n209-k16,30656.0,33307.858449317035
X-n223-k34,40437.0,43260.578514226865
X-n228-k23,25742.0,29903.647008453572
X-n233-k16,19230.0,21096.880445635707
X-n237-k14,27042.0,31433.499189919065
X-n242-k48,82751.0,86966.12065567724
X-n247-k50,37274.0,42930.43819827476
X-n251-k28,38684.0,41486.3538544285
X-n256-k16,18839.0,20972.927317947124
X-n261-k13,26558.0,30368.71050530256
X-n266-k58,75478.0,79574.82411371844
X-n270-k35,35291.0,37668.24068125182
X-n275-k28,21245.0,23400.13332697404
X-n280-k17,33503.0,38519.072094623356
X-n289-k60,95151.0,101331.31183525598
X-n294-k50,47161.0,50434.37563238783
X-n298-k31,34231.0,37830.73492592591
X-n303-k21,21736.0,25431.33922822041
X-n313-k71,94043.0,100350.69506818273
X-n322-k28,29834.0,33173.27243510567
X-n327-k20,27532.0,31752.391450621264
X-n336-k84,139111.0,148639.52698271634
X-n344-k43,42050.0,46274.97064689554
X-n351-k40,25896.0,29287.47920837774
X-n359-k29,51505.0,56910.40740208046
X-n376-k94,147713.0,151746.8677801508
X-n384-k52,65940.0,71748.98589040319
X-n393-k38,38260.0,42167.224072258454
X-n401-k29,66154.0,73117.59679413415
X-n420-k130,107798.0,115728.05493523348
X-n429-k61,65449.0,72331.12564006317
X-n439-k37,36391.0,40394.209848789265
X-n449-k29,55233.0,63415.78217841809
X-n469-k138,221824.0,238024.35307864792
X-n480-k70,89449.0,97538.0367890061
X-n491-k59,66483.0,74158.22512139777
X-n502-k39,69226.0,78987.154566948
X-n524-k153,154593.0,173209.71599152652
X-n536-k96,94846.0,103323.99172053546
X-n573-k30,50673.0,56712.22405328851
X-n586-k159,190316.0,204596.32341515282
X-n599-k92,108451.0,118458.35074777773
X-n613-k62,59535.0,69243.93433695454
X-n627-k43,62164.0,68548.97651322202
X-n641-k35,63684.0,73343.64316110316
X-n655-k131,106780.0,110700.78854578987
X-n685-k75,68205.0,78896.31032025543
X-n733-k159,136187.0,149196.67521036358
X-n749-k98,77269.0,87300.93529366946
X-n819-k171,158121.0,171567.86002153574
X-n876-k59,99299.0,112240.08553875779
X-n916-k207,329179.0,361758.4329458927
